"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2015"	"2015"	"Female"	"F"	"< 1 year"	"0"	10447	1942904	537.7
	"2015"	"2015"	"Female"	"F"	"1 year"	"1"	678	1939269	35.0
	"2015"	"2015"	"Female"	"F"	"2 years"	"2"	442	1939979	22.8
	"2015"	"2015"	"Female"	"F"	"3 years"	"3"	316	1943417	16.3
	"2015"	"2015"	"Female"	"F"	"4 years"	"4"	248	1964111	12.6
	"2015"	"2015"	"Female"	"F"	"5 years"	"5"	222	1967310	11.3
	"2015"	"2015"	"Female"	"F"	"6 years"	"6"	233	1968544	11.8
	"2015"	"2015"	"Female"	"F"	"7 years"	"7"	207	2031242	10.2
	"2015"	"2015"	"Female"	"F"	"8 years"	"8"	195	2039062	9.6
	"2015"	"2015"	"Female"	"F"	"9 years"	"9"	168	2021886	8.3
	"2015"	"2015"	"Female"	"F"	"10 years"	"10"	167	2017346	8.3
	"2015"	"2015"	"Female"	"F"	"11 years"	"11"	198	2023586	9.8
	"2015"	"2015"	"Female"	"F"	"12 years"	"12"	225	2010241	11.2
	"2015"	"2015"	"Female"	"F"	"13 years"	"13"	291	2001602	14.5
	"2015"	"2015"	"Female"	"F"	"14 years"	"14"	352	2049167	17.2
	"2015"	"2015"	"Female"	"F"	"15 years"	"15"	368	2076753	17.7
	"2015"	"2015"	"Female"	"F"	"16 years"	"16"	486	2045025	23.8
	"2015"	"2015"	"Female"	"F"	"17 years"	"17"	569	2049112	27.8
	"2015"	"2015"	"Female"	"F"	"18 years"	"18"	743	2061954	36.0
	"2015"	"2015"	"Female"	"F"	"19 years"	"19"	833	2078192	40.1
	"2015"	"2015"	"Female"	"F"	"20 years"	"20"	866	2123067	40.8
	"2015"	"2015"	"Female"	"F"	"21 years"	"21"	993	2166784	45.8
	"2015"	"2015"	"Female"	"F"	"22 years"	"22"	1021	2197776	46.5
	"2015"	"2015"	"Female"	"F"	"23 years"	"23"	1088	2264424	48.0
	"2015"	"2015"	"Female"	"F"	"24 years"	"24"	1181	2319408	50.9
	"2015"	"2015"	"Female"	"F"	"25 years"	"25"	1285	2322049	55.3
	"2015"	"2015"	"Female"	"F"	"26 years"	"26"	1260	2233433	56.4
	"2015"	"2015"	"Female"	"F"	"27 years"	"27"	1327	2185163	60.7
	"2015"	"2015"	"Female"	"F"	"28 years"	"28"	1386	2149931	64.5
	"2015"	"2015"	"Female"	"F"	"29 years"	"29"	1467	2161579	67.9
	"2015"	"2015"	"Female"	"F"	"30 years"	"30"	1601	2185746	73.2
	"2015"	"2015"	"Female"	"F"	"31 years"	"31"	1641	2125468	77.2
	"2015"	"2015"	"Female"	"F"	"32 years"	"32"	1848	2162451	85.5
	"2015"	"2015"	"Female"	"F"	"33 years"	"33"	1926	2166123	88.9
	"2015"	"2015"	"Female"	"F"	"34 years"	"34"	1995	2146121	93.0
	"2015"	"2015"	"Female"	"F"	"35 years"	"35"	2064	2180134	94.7
	"2015"	"2015"	"Female"	"F"	"36 years"	"36"	2243	2055478	109.1
	"2015"	"2015"	"Female"	"F"	"37 years"	"37"	2206	2017940	109.3
	"2015"	"2015"	"Female"	"F"	"38 years"	"38"	2387	2003325	119.2
	"2015"	"2015"	"Female"	"F"	"39 years"	"39"	2327	1944284	119.7
	"2015"	"2015"	"Female"	"F"	"40 years"	"40"	2602	2000626	130.1
	"2015"	"2015"	"Female"	"F"	"41 years"	"41"	2833	1946164	145.6
	"2015"	"2015"	"Female"	"F"	"42 years"	"42"	3182	1981947	160.5
	"2015"	"2015"	"Female"	"F"	"43 years"	"43"	3488	2068346	168.6
	"2015"	"2015"	"Female"	"F"	"44 years"	"44"	4086	2187962	186.7
	"2015"	"2015"	"Female"	"F"	"45 years"	"45"	4386	2206861	198.7
	"2015"	"2015"	"Female"	"F"	"46 years"	"46"	4655	2095675	222.1
	"2015"	"2015"	"Female"	"F"	"47 years"	"47"	4891	2054083	238.1
	"2015"	"2015"	"Female"	"F"	"48 years"	"48"	5534	2062616	268.3
	"2015"	"2015"	"Female"	"F"	"49 years"	"49"	6104	2099680	290.7
	"2015"	"2015"	"Female"	"F"	"50 years"	"50"	7051	2227286	316.6
	"2015"	"2015"	"Female"	"F"	"51 years"	"51"	7852	2276939	344.8
	"2015"	"2015"	"Female"	"F"	"52 years"	"52"	8731	2279256	383.1
	"2015"	"2015"	"Female"	"F"	"53 years"	"53"	9482	2277046	416.4
	"2015"	"2015"	"Female"	"F"	"54 years"	"54"	10261	2309943	444.2
	"2015"	"2015"	"Female"	"F"	"55 years"	"55"	10922	2324887	469.8
	"2015"	"2015"	"Female"	"F"	"56 years"	"56"	11834	2255835	524.6
	"2015"	"2015"	"Female"	"F"	"57 years"	"57"	12584	2246694	560.1
	"2015"	"2015"	"Female"	"F"	"58 years"	"58"	13361	2228294	599.6
	"2015"	"2015"	"Female"	"F"	"59 years"	"59"	13716	2154665	636.6
	"2015"	"2015"	"Female"	"F"	"60 years"	"60"	14201	2138784	664.0
	"2015"	"2015"	"Female"	"F"	"61 years"	"61"	14911	2060944	723.5
	"2015"	"2015"	"Female"	"F"	"62 years"	"62"	15645	1986021	787.8
	"2015"	"2015"	"Female"	"F"	"63 years"	"63"	16212	1909879	848.8
	"2015"	"2015"	"Female"	"F"	"64 years"	"64"	16773	1857069	903.2
	"2015"	"2015"	"Female"	"F"	"65 years"	"65"	17507	1812107	966.1
	"2015"	"2015"	"Female"	"F"	"66 years"	"66"	18684	1760795	1061.1
	"2015"	"2015"	"Female"	"F"	"67 years"	"67"	20246	1741227	1162.7
	"2015"	"2015"	"Female"	"F"	"68 years"	"68"	22174	1812428	1223.4
	"2015"	"2015"	"Female"	"F"	"69 years"	"69"	19241	1344721	1430.9
	"2015"	"2015"	"Female"	"F"	"70 years"	"70"	20339	1329818	1529.5
